Код,Номера,Оператор,Регион
901,0131xxx,Tele2,Республика Адыгея
901,0132xxx,Tele2,Республика Адыгея
901,0133xxx,Tele2,Республика Адыгея
901,0134xxx,Tele2,Республика Адыгея
901,901-0135000,Tele2,Пензенская область
901,...,Tele2,Пензенская область
901,0135049,Tele2,Пензенская область
901,901-0135050,Tele2,Республика Татарстан
901,...,Tele2,Республика Татарстан
901,0135099,Tele2,Республика Татарстан
901,901-0135100,Tele2,Кабардино-Балкарская Республика
901,...,Tele2,Кабардино-Балкарская Республика
901,0135299,Tele2,Кабардино-Балкарская Республика
901,901-0135300,Tele2,Республика Бурятия
901,...,Tele2,Республика Бурятия
901,0135499,Tele2,Республика Бурятия
901,901-0135500,Tele2,Красноярский край
901,...,Tele2,Красноярский край
901,0135599,Tele2,Красноярский край
901,901-0135600,Tele2,Забайкальский край
901,...,Tele2,Забайкальский край
901,0135699,Tele2,Забайкальский край
901,901-0135700,Tele2,Камчатский край
901,...,Tele2,Камчатский край
901,0135799,Tele2,Камчатский край
901,901-0135800,Tele2,Республика Калмыкия
901,...,Tele2,Республика Калмыкия
901,0135899,Tele2,Республика Калмыкия
901,901-0135900,Tele2,Республика Алтай
901,...,Tele2,Республика Алтай
901,0135999,Tele2,Республика Алтай
901,901-0136000,Tele2,Республика Тыва
901,...,Tele2,Республика Тыва
901,0136099,Tele2,Республика Тыва
901,901-0136100,Tele2,Иркутская область
901,...,Tele2,Иркутская область
901,0136199,Tele2,Иркутская область
901,901-0136200,Tele2,Ставропольский край
901,...,Tele2,Ставропольский край
901,0136299,Tele2,Ставропольский край
901,901-0136300,Tele2,Красноярский край
901,...,Tele2,Красноярский край
901,0136399,Tele2,Красноярский край
901,901-0136400,Tele2,Липецкая область
901,...,Tele2,Липецкая область
901,0136499,Tele2,Липецкая область
901,901-0136500,Tele2,Карачаево-Черкесская Республика
901,...,Tele2,Карачаево-Черкесская Республика
901,0136599,Tele2,Карачаево-Черкесская Республика
901,901-0136600,Tele2,Забайкальский край
